Título,Genero,Precio,Valoración,Valoración_num
A Light in the Attic,Poetry,51.77,Three,3
Tipping the Velvet,Historical Fiction,53.74,One,1
Soumission,Fiction,50.1,One,1
Sharp Objects,Mystery,47.82,Four,4
Sapiens: A Brief History of Humankind,History,54.23,Five,5
The Requiem Red,Young Adult,22.65,One,1
The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,Four,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,Three,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,Four,4
The Black Maria,Poetry,52.15,One,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,Two,2
Shakespeare's Sonnets,Poetry,20.66,Four,4
Set Me Free,Young Adult,17.46,Five,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,Five,5
Rip it Up and Start Again,Music,35.02,Five,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,Three,3
Olio,Poetry,23.88,One,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,One,1
Libertarianism for Beginners,Politics,51.33,Two,2
It's Only the Himalayas,Travel,45.17,Two,2
In Her Wake,Thriller,12.84,One,1
How Music Works,Music,37.32,Two,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,Three,3
Chase Me (Paris Nights #2),Romance,25.27,Five,5
Black Dust,Romance,34.53,Five,5
Birdsong: A Story in Pictures,Childrens,54.64,Three,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,Three,3
Aladdin and His Wonderful Lamp,Default,53.13,Three,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,40.3,Five,5
Wall and Piece,Art,44.18,Four,4
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,Five,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,Three,3
The Elephant Tree,Thriller,23.82,Five,5
The Bear and the Piano,Childrens,36.89,One,1
Sophie's World,Philosophy,15.94,Five,5
Penny Maybe,Default,33.29,Three,3
Maude (1883-1993):She Grew Up with the country,Default,18.02,Two,2
"In a Dark, Dark Wood",Mystery,19.63,One,1
Behind Closed Doors,Thriller,52.22,Four,4
You can't bury them all: Poems,Poetry,33.63,Two,2
Slow States of Collapse: Poems,Poetry,57.31,Three,3
Reasons to Stay Alive,Nonfiction,26.41,Two,2
Private Paris (Private #10),Fiction,47.61,Five,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,Five,5
Without Borders (Wanderlove #1),New Adult,45.07,Two,2
When We Collided,Contemporary,31.77,One,1
"We Love You, Charlie Freeman",Fiction,50.27,Five,5
Untitled Collection: Sabbath Poems 2014,Poetry,14.27,Four,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,Four,4
Unicorn Tracks,Fantasy,18.78,Three,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,One,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,One,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,Three,3
This One Summer,Sequential Art,19.49,Four,4
Thirst,Fiction,17.27,Five,5
The Torch Is Passed: A Harding Family Story,Add a comment,19.09,One,1
The Secret of Dreadwillow Carse,Childrens,56.13,One,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,One,1
The Past Never Ends,Mystery,56.5,Four,4
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,Three,3
